language,strategy,model_or_tokenizer,metric_type,num_tokens,fertility,generation_time
pt,BaselinePreprocessor,xlm-roberta-base,static,406.0,1.395189003436426,
pt,BaselinePreprocessor,google/mt5-base,static,514.0,1.7663230240549828,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,1.9434125423431396
pt,RegexPreprocessor,xlm-roberta-base,static,435.0,1.3384615384615384,
pt,RegexPreprocessor,google/mt5-base,static,549.0,1.6892307692307693,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,1.4510562419891357
pt,MWEPreprocessor,xlm-roberta-base,static,401.0,1.3780068728522337,
pt,MWEPreprocessor,google/mt5-base,static,514.0,1.7663230240549828,
pt,MWEPreprocessor,google/gemma-2b-it,dynamic,,,0.7896430492401123
pt,BaselinePreprocessor,xlm-roberta-base,static,3265.0,1.3846480067854114,
pt,BaselinePreprocessor,google/mt5-base,static,4387.0,1.8604749787955894,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,7.274625062942505
pt,RegexPreprocessor,xlm-roberta-base,static,3570.0,1.345139412207988,
pt,RegexPreprocessor,google/mt5-base,static,4731.0,1.782592313489073,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,7.629854679107666
pt,MWEPreprocessor,xlm-roberta-base,static,3256.0,1.3808312128922815,
pt,MWEPreprocessor,google/mt5-base,static,4410.0,1.8702290076335877,
pt,MWEPreprocessor,google/gemma-2b-it,dynamic,,,7.586796045303345
pt,BaselinePreprocessor,xlm-roberta-base,static,1921.0,1.4564063684609552,
pt,BaselinePreprocessor,google/mt5-base,static,2317.0,1.756633813495072,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,3.6435935497283936
pt,RegexPreprocessor,xlm-roberta-base,static,2056.0,1.4140302613480056,
pt,RegexPreprocessor,google/mt5-base,static,2505.0,1.7228335625859696,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,3.7917251586914062
pt,MWEPreprocessor,xlm-roberta-base,static,1916.0,1.4526156178923426,
pt,MWEPreprocessor,google/mt5-base,static,2360.0,1.7892342683851403,
pt,MWEPreprocessor,google/gemma-2b-it,dynamic,,,3.528116226196289
pt,BaselinePreprocessor,xlm-roberta-base,static,676.0,1.9651162790697674,
pt,BaselinePreprocessor,google/mt5-base,static,751.0,2.183139534883721,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,2.061518430709839
pt,RegexPreprocessor,xlm-roberta-base,static,804.0,1.7866666666666666,
pt,RegexPreprocessor,google/mt5-base,static,926.0,2.057777777777778,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,1.45035982131958
pt,MWEPreprocessor,xlm-roberta-base,static,682.0,1.9825581395348837,
pt,MWEPreprocessor,google/mt5-base,static,794.0,2.308139534883721,
pt,MWEPreprocessor,google/gemma-2b-it,dynamic,,,2.0296385288238525
pt,BaselinePreprocessor,xlm-roberta-base,static,583.0,1.4395061728395062,
pt,BaselinePreprocessor,google/mt5-base,static,746.0,1.8419753086419752,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,1.0664355754852295
pt,RegexPreprocessor,xlm-roberta-base,static,620.0,1.3808463251670378,
pt,RegexPreprocessor,google/mt5-base,static,796.0,1.7728285077951003,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,1.2692670822143555
pt,MWEPreprocessor,xlm-roberta-base,static,579.0,1.4296296296296296,
