language,strategy,model_or_tokenizer,metric_type,num_tokens,fertility,generation_time
pt,BaselinePreprocessor,xlm-roberta-base,static,406.0,1.395189003436426,
pt,BaselinePreprocessor,google/mt5-base,static,514.0,1.7663230240549828,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,1.2009751796722412
pt,RegexPreprocessor,xlm-roberta-base,static,435.0,1.3384615384615384,
pt,RegexPreprocessor,google/mt5-base,static,549.0,1.6892307692307693,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,1.2522668838500977
pt,Automated_MWE_VocabInjection,xlm-roberta-base,static,358.0,1.361216730038023,
pt,Automated_MWE_VocabInjection,google/mt5-base,static,474.0,1.8022813688212929,
pt,Automated_MWE_VocabInjection,google/gemma-2b-it,dynamic,,,0.6066305637359619
pt,BaselinePreprocessor,xlm-roberta-base,static,3265.0,1.3846480067854114,
pt,BaselinePreprocessor,google/mt5-base,static,4387.0,1.8604749787955894,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,6.125140428543091
pt,RegexPreprocessor,xlm-roberta-base,static,3570.0,1.345139412207988,
pt,RegexPreprocessor,google/mt5-base,static,4731.0,1.782592313489073,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,6.251892566680908
pt,Automated_MWE_VocabInjection,xlm-roberta-base,static,2828.0,1.3557046979865772,
pt,Automated_MWE_VocabInjection,google/mt5-base,static,3925.0,1.8815915627996165,
pt,Automated_MWE_VocabInjection,google/gemma-2b-it,dynamic,,,5.357678413391113
pt,BaselinePreprocessor,xlm-roberta-base,static,1921.0,1.4564063684609552,
pt,BaselinePreprocessor,google/mt5-base,static,2317.0,1.756633813495072,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,3.137025833129883
pt,RegexPreprocessor,xlm-roberta-base,static,2056.0,1.4140302613480056,
pt,RegexPreprocessor,google/mt5-base,static,2505.0,1.7228335625859696,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,3.372405529022217
pt,Automated_MWE_VocabInjection,xlm-roberta-base,static,1770.0,1.447260834014718,
pt,Automated_MWE_VocabInjection,google/mt5-base,static,2234.0,1.8266557645134913,
pt,Automated_MWE_VocabInjection,google/gemma-2b-it,dynamic,,,3.225106716156006
pt,BaselinePreprocessor,xlm-roberta-base,static,676.0,1.9651162790697674,
pt,BaselinePreprocessor,google/mt5-base,static,751.0,2.183139534883721,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,2.0121030807495117
pt,RegexPreprocessor,xlm-roberta-base,static,804.0,1.7866666666666666,
pt,RegexPreprocessor,google/mt5-base,static,926.0,2.057777777777778,
pt,RegexPreprocessor,google/gemma-2b-it,dynamic,,,1.3608486652374268
pt,Automated_MWE_VocabInjection,xlm-roberta-base,static,495.0,1.8265682656826567,
pt,Automated_MWE_VocabInjection,google/mt5-base,static,629.0,2.321033210332103,
pt,Automated_MWE_VocabInjection,google/gemma-2b-it,dynamic,,,1.1145009994506836
pt,BaselinePreprocessor,xlm-roberta-base,static,583.0,1.4395061728395062,
pt,BaselinePreprocessor,google/mt5-base,static,746.0,1.8419753086419752,
pt,BaselinePreprocessor,google/gemma-2b-it,dynamic,,,1.0053765773773193
pt,RegexPreprocessor,xlm-roberta-base,static,620.0,1.3808463251670378,
pt,RegexPreprocessor,google/mt5-base,static,796.0,1.7728285077951003,
